Designator,Mid X,Mid Y,Rotation,Layer
C1,-8.75,11.75,180.0,top
C10,-4.75,-1.75,270.0,top
C11,-2.95,-4.8,180.0,top
C12,4.75,-3.8,0.0,top
C13,6.5,-0.3,0.0,top
C14,5.0,2.15,270.0,top
C15,6.0,2.15,270.0,top
C16,-1.5,5.2,90.0,top
C17,6.0,4.45,90.0,top
C18,2.0,4.95,0.0,top
C19,5.0,5.5,270.0,top
C2,-9.1,6.7,180.0,top
C3,2.75,-6.55,0.0,top
C4,-2.8,-6.55,180.0,top
C5,-5.6,0.8,180.0,top
C6,2.75,-5.3,0.0,top
C7,6.5,0.7,0.0,top
C8,2.0,5.95,0.0,top
C9,-3.7,5.2,90.0,top
H1,-11.3,-1.05,0.0,top
H2,11.3,-1.05,0.0,top
J1,-7.0,-8.0,0.0,top
J2,6.8,-8.05,0.0,top
L1,2.0,7.8,0.0,top
P1,0.0,16.45,0.0,top
R1,-7.0,17.45,0.0,top
R2,7.74,6.2,180.0,top
R3,0.49,-6.55,180.0,top
R4,-6.75,4.51,90.0,top
R5,5.0,7.49,270.0,top
R6,-0.6,8.6,90.0,top
R7,-1.6,8.6,90.0,top
R8,-7.0,16.45,180.0,top
SW1,-9.9,4.0,90.0,top
SW2,9.9,4.07,90.0,top
U1,-9.182,9.306,90.0,top
U2,0.0,0.0,90.0,top
Y1,0.0,-8.8,0.0,top
